Bedroom,Bathroom,Property Size,Tenure Type,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,State,Property Age,Listed_Facility_Count,Has_Bus_Stop,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Highway,Has_Railway_Station,Is_Non_Bumi_Lot,Freehold Indicator,Floor_Range_Ordinal,Has_Barbeque_Area,Has_Club_House,Has_Gymnasium,Has_Jogging_Track,Has_Lift,Has_Minimart,Has_Multipurpose_Hall,Has_Parking,Has_Playground,Has_Sauna,Has_Security,Has_Squash_Court,Has_Swimming_Pool,Has_Tennis_Court,price
3,2,1011.0,Freehold,,296.0,Apartment,,Low,Non Bumi Lot,Selangor,5.0,5,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,310000
2,2,900.0,Leasehold,,109.0,Condominium,1.0,High,Non Bumi Lot,Sabah,,12,0,0,0,0,0,0,0,1,0,3.0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,369000
4,2,1385.0,Freehold,,42.0,Apartment,,Low,Non Bumi Lot,Johor,,5,0,0,0,0,0,0,0,1,1,1.0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,469000
3,2,657.0,Freehold,,,Apartment,,Low,Non Bumi Lot,Selangor,,0,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155000
3,2,800.0,Leasehold,6.0,672.0,Apartment,1.0,Medium,Non Bumi Lot,Penang,29.0,2,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,288000
3,2,700.0,Freehold,,,Apartment,1.0,Low,Non Bumi Lot,Penang,,5,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,360000
3,2,1091.0,Freehold,30.0,808.0,Condominium,1.0,Medium,Non Bumi Lot,Penang,10.0,10,0,0,0,0,0,0,0,1,1,2.0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,530000
3,2,771.0,Leasehold,4.0,496.0,Apartment,2.0,,Non Bumi Lot,Sarawak,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280000
3,2,982.0,Freehold,16.0,,Condominium,,,Non Bumi Lot,Kuala Lumpur,,5,0,0,1,1,0,0,1,1,1,,0,0,0,0,0,0,0,1,1,0,1,0,1,1,375000
3,2,732.0,Leasehold,,,Apartment,,Medium,Non Bumi Lot,Sabah,,4,0,0,0,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,300000
3,2,1030.0,Freehold,,,Condominium,2.0,Low,Non Bumi Lot,Kuala Lumpur,,14,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,470000
3,2,1270.0,Freehold,,,Condominium,2.0,Medium,Non Bumi Lot,Penang,,3,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,730000
3,2,811.0,Leasehold,,,Apartment,1.0,Medium,Non Bumi Lot,,,5,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,255000
2,2,872.0,Leasehold,,,Condominium,,,Non Bumi Lot,Johor,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000
3,2,1520.0,Leasehold,,,Condominium,,High,Non Bumi Lot,Sarawak,,13,0,0,0,0,0,0,0,1,0,3.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,728888
4,3,1239.0,Freehold,44.0,684.0,Service Residence,2.0,Medium,Non Bumi Lot,Kuala Lumpur,0.0,0,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550000
3,2,864.0,Freehold,25.0,600.0,Condominium,2.0,,Non Bumi Lot,Selangor,8.0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000
4,2,1270.0,Freehold,27.0,,Condominium,2.0,,Non Bumi Lot,Penang,18.0,7,0,0,0,0,0,0,0,1,1,,1,0,1,0,1,0,0,1,1,0,1,0,1,0,598000
3,2,956.0,Freehold,,,Service Residence,2.0,High,Bumi Lot,Selangor,,14,0,0,0,0,0,0,0,0,1,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,290000
3,2,700.0,Freehold,5.0,,Apartment,,Medium,Bumi Lot,Selangor,,4,1,1,1,1,0,0,1,0,1,2.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,220000
3,2,1200.0,Freehold,,,Condominium,2.0,Medium,Non Bumi Lot,Putrajaya,,14,0,0,0,0,0,0,0,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,450000
4,2,1260.0,Freehold,5.0,,Apartment,1.0,Medium,Non Bumi Lot,Selangor,,5,0,0,1,1,0,0,0,1,1,2.0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,249999
