stage,description,Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Ad List,Category,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Firm Number,REN Number,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station
after_merge,"Pangsapuri Anggerik, Pekan Serdang Lama, Seri Kembangan, (rm119,000 only for cash buyer....!)
Normal Market PRICE rm138,000
Pangsapuri Anggerik
700 sf
Hight floor
3 room 2 bath
Rent can up to rm750m to rm850
Location: near IOI city mall, the mines , Seri Kembangan, desa serdang
Pls call or Whatsapp Mr,Lee or our team: 
Show contact number
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
700 sq.ft.
Nearby Railway Station
KTM Station Serdang (Komuter Seremban Line)
Nearby School
Sekolah Jenis Kebangsaan (Cina) Kung Man
See more details",3,2,700 sq.ft.,Sekolah Jenis Kebangsaan (Cina) Kung Man,,85487683,"Apartment / Condominium, For sale","Playground, Parking, Lift, Security",Anggerik Apartment (Seri Kembangan),,Leasehold,"Jalan Besar Serdang Lama, Seri Kembangan, Selangor",,5,,Apartment,1,High,Non Bumi Lot,E,30205,REN 15915,"Bus Stop at Sungai Besi Expressway 2
Bus Stop at Sungai Besi Expressway 1",,"Park at Sri Serdang, Subang Jaya","Sekolah Jenis Kebangsaan (Cina) Kung Man
Sekolah Kebangsaan Sri Serdang
Australian International School Malaysia
Sekolah Menengah Kebangsaan Sri Indah",,RM 128 000,,KTM Station Serdang (Komuter Seremban Line),KTM Station Serdang (Komuter Seremban Line)
before,"Pangsapuri Anggerik, Pekan Serdang Lama, Seri Kembangan, (rm119,000 only for cash buyer....!)
Normal Market PRICE rm138,000
Pangsapuri Anggerik
700 sf
Hight floor
3 room 2 bath
Rent can up to rm750m to rm850
Location: near IOI city mall, the mines , Seri Kembangan, desa serdang
Pls call or Whatsapp Mr,Lee or our team: 
Show contact number
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
700 sq.ft.
Nearby Railway Station
KTM Station Serdang (Komuter Seremban Line)
Nearby School
Sekolah Jenis Kebangsaan (Cina) Kung Man
See more details",3,2,700 sq.ft.,Sekolah Jenis Kebangsaan (Cina) Kung Man,,85487683,"Apartment / Condominium, For sale","Playground, Parking, Lift, Security",Anggerik Apartment (Seri Kembangan),,Leasehold,"Jalan Besar Serdang Lama, Seri Kembangan, Selangor",,5,,Apartment,1,High,Non Bumi Lot,E,30205,REN 15915,"Bus Stop at Sungai Besi Expressway 2
Bus Stop at Sungai Besi Expressway 1",,"Park at Sri Serdang, Subang Jaya","Sekolah Jenis Kebangsaan (Cina) Kung Man
Sekolah Kebangsaan Sri Serdang
Australian International School Malaysia
Sekolah Menengah Kebangsaan Sri Indah",,RM 128 000,,KTM Station Serdang (Komuter Seremban Line),KTM Station Serdang (Komuter Seremban Line)
before,"Pangsapuri Anggerik, Pekan Serdang Lama, Seri Kembangan, (rm119,000 only for cash buyer....!)
Normal Market PRICE rm138,000
Pangsapuri Anggerik
700 sf
Hight floor
3 room 2 bath
Rent can up to rm750m to rm850
Location: near IOI city mall, the mines , Seri Kembangan, desa serdang
Pls call or Whatsapp Mr,Lee or our team: 
Show contact number
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
700 sq.ft.
Nearby Railway Station
KTM Station Serdang (Komuter Seremban Line)
Nearby School
Sekolah Jenis Kebangsaan (Cina) Kung Man
See more details",3,2,700 sq.ft.,,,85487683,"Apartment / Condominium, For sale","Playground, Parking, Lift, Security",Anggerik Apartment (Seri Kembangan),,Leasehold,"Jalan Besar Serdang Lama, Seri Kembangan, Selangor",,5,,Apartment,1,High,Non Bumi Lot,E,30205,REN 15915,"Bus Stop at Sungai Besi Expressway 2
Bus Stop at Sungai Besi Expressway 1",,"Park at Sri Serdang, Subang Jaya","Sekolah Jenis Kebangsaan (Cina) Kung Man
Sekolah Kebangsaan Sri Serdang
Australian International School Malaysia
Sekolah Menengah Kebangsaan Sri Indah",,RM 128 000,,,KTM Station Serdang (Komuter Seremban Line)
after_merge,"Facing Forest !!!
FACILITIES & AMENITIES
* 24/7 hours security and CCTV surveillance
* Covered car park
* Swimming pool
* Gymnasium Room
* Sauna Room
* Playground
* Perimeter Fencing
* Mini Market
SURROUNDING AREA :
* UPM / Australian International School / UNITEN / MMU Cyberjaya
* The Mines Shopping Mall 
* South City Plaza
* McD, KFC, Pizza Hut, Starbucks, Hailam Kopitiam
* Public Bank, CIMB, Hong Leong Bank, Alliance Bank, RHB
ACCESS:
* Klang Valley major highway (Kajang-Silk Highway, Grand Saga Highway, Besraya Highway, KL-Seremban Highway)
* Public commuter (KTM, LRT, Bus)
* E-Hailing point (Grab, MyCar, SoCar)
## SERIOUS BUYER ONLY ##
# Strategic Location Below Market Price (20-25%)
# Good for INVESTMENT 
@ We offer BANKER for attractive loan package
@ We offer LAWYER for fast document processing
##################################
CALL JOHN 
Show contact number
 to make appointment
CALL JOHN 
Show contact number
 to make appointment
CALL JOHN 
Show contact number
 to make appointment
##################################
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
907 sq.ft.
Nearby School
Sekolah Kebangsaan Taman Sungai Besi Indah
See more details",3,2,907 sq.ft.,Sekolah Kebangsaan Taman Sungai Besi Indah,,90492002,"Apartment / Condominium, For sale","Playground, Minimart, Swimming Pool, Security, Tennis Court, Parking, Gymnasium",Juta Mines,Galian Juta Property,Leasehold,"Persiaran Seri Timah, Taman Seri Timah, Seri Kembangan, Selangor",2005,20,606,Condominium,1,Medium,Non Bumi Lot,E,11634,REN 49392,,,"Park at Taman Sungai Besi Indah, Subang Jaya","Sekolah Kebangsaan Taman Sungai Besi Indah
Australian International School Malaysia",,RM 240 000,,,
before,"Facing Forest !!!
FACILITIES & AMENITIES
* 24/7 hours security and CCTV surveillance
* Covered car park
* Swimming pool
* Gymnasium Room
* Sauna Room
* Playground
* Perimeter Fencing
* Mini Market
SURROUNDING AREA :
* UPM / Australian International School / UNITEN / MMU Cyberjaya
* The Mines Shopping Mall 
* South City Plaza
* McD, KFC, Pizza Hut, Starbucks, Hailam Kopitiam
* Public Bank, CIMB, Hong Leong Bank, Alliance Bank, RHB
ACCESS:
* Klang Valley major highway (Kajang-Silk Highway, Grand Saga Highway, Besraya Highway, KL-Seremban Highway)
* Public commuter (KTM, LRT, Bus)
* E-Hailing point (Grab, MyCar, SoCar)
## SERIOUS BUYER ONLY ##
# Strategic Location Below Market Price (20-25%)
# Good for INVESTMENT 
@ We offer BANKER for attractive loan package
@ We offer LAWYER for fast document processing
##################################
CALL JOHN 
Show contact number
 to make appointment
CALL JOHN 
Show contact number
 to make appointment
CALL JOHN 
Show contact number
 to make appointment
##################################
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
907 sq.ft.
Nearby School
Sekolah Kebangsaan Taman Sungai Besi Indah
See more details",3,2,907 sq.ft.,,,90492002,"Apartment / Condominium, For sale","Playground, Minimart, Swimming Pool, Security, Tennis Court, Parking, Gymnasium",Juta Mines,Galian Juta Property,Leasehold,"Persiaran Seri Timah, Taman Seri Timah, Seri Kembangan, Selangor",2005,20,606,Condominium,1,Medium,Non Bumi Lot,E,11634,REN 49392,,,"Park at Taman Sungai Besi Indah, Subang Jaya","Sekolah Kebangsaan Taman Sungai Besi Indah
Australian International School Malaysia",,RM 240 000,,,
before,"Facing Forest !!!
FACILITIES & AMENITIES
* 24/7 hours security and CCTV surveillance
* Covered car park
* Swimming pool
* Gymnasium Room
* Sauna Room
* Playground
* Perimeter Fencing
* Mini Market
SURROUNDING AREA :
* UPM / Australian International School / UNITEN / MMU Cyberjaya
* The Mines Shopping Mall 
* South City Plaza
* McD, KFC, Pizza Hut, Starbucks, Hailam Kopitiam
* Public Bank, CIMB, Hong Leong Bank, Alliance Bank, RHB
ACCESS:
* Klang Valley major highway (Kajang-Silk Highway, Grand Saga Highway, Besraya Highway, KL-Seremban Highway)
* Public commuter (KTM, LRT, Bus)
* E-Hailing point (Grab, MyCar, SoCar)
## SERIOUS BUYER ONLY ##
# Strategic Location Below Market Price (20-25%)
# Good for INVESTMENT 
@ We offer BANKER for attractive loan package
@ We offer LAWYER for fast document processing
##################################
CALL JOHN 
Show contact number
 to make appointment
CALL JOHN 
Show contact number
 to make appointment
CALL JOHN 
Show contact number
 to make appointment
##################################
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
907 sq.ft.
Nearby School
Sekolah Kebangsaan Taman Sungai Besi Indah
See more details",3,2,907 sq.ft.,Sekolah Kebangsaan Taman Sungai Besi Indah,,90492002,"Apartment / Condominium, For sale","Playground, Minimart, Swimming Pool, Security, Tennis Court, Parking, Gymnasium",Juta Mines,Galian Juta Property,Leasehold,"Persiaran Seri Timah, Taman Seri Timah, Seri Kembangan, Selangor",2005,20,606,Condominium,1,Medium,Non Bumi Lot,E,11634,REN 49392,,,"Park at Taman Sungai Besi Indah, Subang Jaya","Sekolah Kebangsaan Taman Sungai Besi Indah
Australian International School Malaysia",,RM 240 000,,,
after_merge,"FOR SALE @ Pangsapuri Cemara 1, Taman Bukit Segar Jaya, Cheras 
Asking Price: RM 177,000 (Negotiable)
================================
Property Details:
* Property Type: Apartment
* Built-Up Size: 650 Sqft
* Level 7
* 3 Bedrooms
* Leasehold
* 1 Bathroom 1 Toilet
* 2 lift
* Full tile 
* Plaster ceiling
* kitchen cabinet
Nearby:
~ Leisure Mall
~ Cheras EKO Mall
~ Mutiara MRT Station
~ Commercial Center
~ SK Taman Segar
~ Maybank, CIMB Bank, and Bank Simpanan National
~ Taman Segar Perdana, Taman Cheras Awana, Taman Cheras Permata
======================================
For more information or viewing arrangement, kindly Call / SMS / Whatsapp below contact:
=============================
ASKING PRICE: RM 177,000 (Negotiable)
=============================
Untuk Maklumat Lanjut, Hubungi
NIK RAIMI 
REN 51932
GREAT CASA REALTY 
http://www.wasap.my/6
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
650 sq.ft.
Nearby Railway Station
LRT Station Salak Selatan (Sri Petaling Line)
Nearby School
SMK Seri Tasik
See more details",3,2,650 sq.ft.,SMK Seri Tasik,,97389778,"Apartment / Condominium, For sale","Security, Parking, Swimming Pool, Minimart",Pangsapuri Cemara (Cheras),,Leasehold,"Jalan Sri Permaisuri 3, Bandar Sri Permaisuri, Cheras, Kuala Lumpur",2002,11,792,Apartment,,Medium,Bumi Lot,VE,10143,REN 24482,"Bus Stop Jalan Sri Permaisuri 4
Bus Stop Apartment Blok A
Bus Stop Chengal Condominium
Bus Stop JPJ Cheras
Bus Stop Dataran Dwitasik
Bus Stop Cendana Apartment
Bus Stop T582 T583 T584
Bus Stop Wisma Zelan",,"Park at Bandar Tun Razak, Cheras, Kuala Lumpur, 56000, Malaysia","SMK Seri Tasik
Sekolah Menengah Agama Majlis Agama Islam Wilayah Persekutuan
Sekolah Jenis Kebangsaan (Cina) Tai Thung
Sekolah Kebangsaan Seri Permaisuri",,RM 177 000,,LRT Station Salak Selatan (Sri Petaling Line),"LRT Station Salak Selatan (Sri Petaling Line)
KTM Station Salak Selatan (Komuter Seremban Line)"
before,"FOR SALE @ Pangsapuri Cemara 1, Taman Bukit Segar Jaya, Cheras 
Asking Price: RM 177,000 (Negotiable)
================================
Property Details:
* Property Type: Apartment
* Built-Up Size: 650 Sqft
* Level 7
* 3 Bedrooms
* Leasehold
* 1 Bathroom 1 Toilet
* 2 lift
* Full tile 
* Plaster ceiling
* kitchen cabinet
Nearby:
~ Leisure Mall
~ Cheras EKO Mall
~ Mutiara MRT Station
~ Commercial Center
~ SK Taman Segar
~ Maybank, CIMB Bank, and Bank Simpanan National
~ Taman Segar Perdana, Taman Cheras Awana, Taman Cheras Permata
======================================
For more information or viewing arrangement, kindly Call / SMS / Whatsapp below contact:
=============================
ASKING PRICE: RM 177,000 (Negotiable)
=============================
Untuk Maklumat Lanjut, Hubungi
NIK RAIMI 
REN 51932
GREAT CASA REALTY 
http://www.wasap.my/6
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
650 sq.ft.
Nearby Railway Station
LRT Station Salak Selatan (Sri Petaling Line)
Nearby School
SMK Seri Tasik
See more details",3,2,650 sq.ft.,SMK Seri Tasik,,97389778,"Apartment / Condominium, For sale","Security, Parking, Swimming Pool, Minimart",Pangsapuri Cemara (Cheras),,Leasehold,"Jalan Sri Permaisuri 3, Bandar Sri Permaisuri, Cheras, Kuala Lumpur",2002,11,792,Apartment,,Medium,Bumi Lot,VE,10143,REN 24482,"Bus Stop Jalan Sri Permaisuri 4
Bus Stop Apartment Blok A
Bus Stop Chengal Condominium
Bus Stop JPJ Cheras
Bus Stop Dataran Dwitasik
Bus Stop Cendana Apartment
Bus Stop T582 T583 T584
Bus Stop Wisma Zelan",,"Park at Bandar Tun Razak, Cheras, Kuala Lumpur, 56000, Malaysia","SMK Seri Tasik
Sekolah Menengah Agama Majlis Agama Islam Wilayah Persekutuan
Sekolah Jenis Kebangsaan (Cina) Tai Thung
Sekolah Kebangsaan Seri Permaisuri",,RM 177 000,,LRT Station Salak Selatan (Sri Petaling Line),"LRT Station Salak Selatan (Sri Petaling Line)
KTM Station Salak Selatan (Komuter Seremban Line)"
before,"FOR SALE @ Pangsapuri Cemara 1, Taman Bukit Segar Jaya, Cheras 
Asking Price: RM 177,000 (Negotiable)
================================
Property Details:
* Property Type: Apartment
* Built-Up Size: 650 Sqft
* Level 7
* 3 Bedrooms
* Leasehold
* 1 Bathroom 1 Toilet
* 2 lift
* Full tile 
* Plaster ceiling
* kitchen cabinet
Nearby:
~ Leisure Mall
~ Cheras EKO Mall
~ Mutiara MRT Station
~ Commercial Center
~ SK Taman Segar
~ Maybank, CIMB Bank, and Bank Simpanan National
~ Taman Segar Perdana, Taman Cheras Awana, Taman Cheras Permata
======================================
For more information or viewing arrangement, kindly Call / SMS / Whatsapp below contact:
=============================
ASKING PRICE: RM 177,000 (Negotiable)
=============================
Untuk Maklumat Lanjut, Hubungi
NIK RAIMI 
REN 51932
GREAT CASA REALTY 
http://www.wasap.my/6
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
650 sq.ft.
Nearby Railway Station
LRT Station Salak Selatan (Sri Petaling Line)
Nearby School
SMK Seri Tasik
See more details",3,2,650 sq.ft.,,,97389778,"Apartment / Condominium, For sale","Security, Parking, Swimming Pool, Minimart",Pangsapuri Cemara (Cheras),,Leasehold,"Jalan Sri Permaisuri 3, Bandar Sri Permaisuri, Cheras, Kuala Lumpur",2002,11,792,Apartment,,Medium,Bumi Lot,VE,10143,REN 24482,"Bus Stop Jalan Sri Permaisuri 4
Bus Stop Apartment Blok A
Bus Stop Chengal Condominium
Bus Stop JPJ Cheras
Bus Stop Dataran Dwitasik
Bus Stop Cendana Apartment
Bus Stop T582 T583 T584
Bus Stop Wisma Zelan",,"Park at Bandar Tun Razak, Cheras, Kuala Lumpur, 56000, Malaysia","SMK Seri Tasik
Sekolah Menengah Agama Majlis Agama Islam Wilayah Persekutuan
Sekolah Jenis Kebangsaan (Cina) Tai Thung
Sekolah Kebangsaan Seri Permaisuri",,RM 177 000,,,"LRT Station Salak Selatan (Sri Petaling Line)
KTM Station Salak Selatan (Komuter Seremban Line)"
after_merge,"Kenanga Point Condominium, Pudu. 
If you are looking for a good, cheap, freehold property in KL city centre, this is the one for you.
Location : Centrally located in Pudu area. . In between commercial hubs KL Sentral & Bukit Bintang.
Why it's worth buying :  you live nearby your workplace in the city without paying a bomb as in new properties. For those who renting rooms at RM1500-1800 a month in the city, might as buy a 3-room condo. 
For passive income, monthly rentals in this condo has a price range of RM1600 - RM2200.
The best view - unlike other units, this one no obstruction in views from balcony. Facing Merdeka 101 Tower.
Security is strict & manned by Nepalese at the 1st tier security gate, by locals at 2nd tier building entrance. Well kept with good housekeeping staffs. 3 levels of parking floors for residents; at ground level, a row of visitor parking lots makes it convenient for visitors & contractors.
Two eating outlets, management office, gym, swimming pool, Mini Mart, barber shop  at level 4. 2 units of Passenger Lifts plus 1 unit of Contractor/Firemen Lift in operation at all times.
""Buying Kenanga Point is buying a condominium at apartment price. Don't miss the boat.""
Call Terry at 
Show contact number
 today.
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
861 sq.ft.
Nearby Railway Station
LRT Station Pudu (Sri Petaling and Ampang Line)
Nearby School
Tsun Jin High School
Nearby Mall
KWC Fashion Mall
See more details",3,2,861 sq.ft.,Tsun Jin High School,KWC Fashion Mall,97952413,"Apartment / Condominium, For sale","Security, Tennis Court, Squash Court, Sauna, Gymnasium, Barbeque area, Parking, Swimming Pool, Playground",Kenanga Point,Mahajaya Berhad,Freehold,"No. 11, Jalan Gelugor, Pudu, Pudu, Kuala Lumpur",,26,,Condominium,,Medium,Non Bumi Lot,E,11584,REN 00268,"Bus Stop 3 Jalan Pudu
Bus Stop 1 D'Majestic
Bus Stop 2 D'Majestic
Bus Stop Jalan Changkat Thambi Dollah
Bus Stop 4 Jalan Pudu
Bus Stop 1 Jalan Imbi
Bus Stop Five Stars Bus Bts G09F
Bus Stop Jalan Imbi
Bus Stop Kompleks E-Mart
Bus Stop 2 Jalan Imbi
Bus Stop KL Plaza Square (KL122)
Bus Stop 1 Jalan Pudu
Bus Stop 5 Jalan Pudu
Bus Stop Plaza Elektronik (Opp)
Bus Stop Plaza Elektronik","KWC Fashion Mall
Mitsui Shopping Park LaLaport Kuala Lumpur
Shaw Parade
Plaza Pudu
Berjaya Times Square
Plaza Low Yat","Central Rooftop Garden, Bukit Bintang City Centre, Bukit Bintang, Kuala Lumpur, 55100, Malaysia
Park at Kampung Dollah, Pudu, Kuala Lumpur, Malaysia","Tsun Jin High School
Sekolah Rendah Agama Aslahiyah
SJK (T) Jalan San Peng
SMK Dato' Onn
SK Jalan Hang Tuah (1) & (2)
SJK (C) Chung Kwo
Victoria Institution
SJK(C) Chong Fah Phit Chee
SJK (C) Kung Min
SJK(C) Chin Woo
SMK (P) Bandaraya
SJK (C) Jalan Davidson
Jalan Sultan Ismail
SMK Dato Abu Bakar
Sekolah Seni Malaysia Kuala Lumpur
Sekolah Menengah Stella Maris",,RM 490 000,,LRT Station Pudu (Sri Petaling and Ampang Line),"LRT Station Pudu (Sri Petaling and Ampang Line)
LRT Station Hang Tuah (Sri Petaling and Ampang Line)
Monorail Station Hang Tuah
Monorail Station Imbi
MRT Station Merdeka (MRT Sungai Buloh-Kajang Line)"
