Bedroom,Bathroom,Property Size,Tenure Type,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,State,Property Age,Listed_Facility_Count,Has_Bus_Stop,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Highway,Has_Railway_Station,Is_Non_Bumi_Lot,Freehold Indicator,Floor_Range_Ordinal,Has_Barbeque_Area,Has_Club_House,Has_Gymnasium,Has_Jogging_Track,Has_Lift,Has_Minimart,Has_Multipurpose_Hall,Has_Parking,Has_Playground,Has_Sauna,Has_Security,Has_Squash_Court,Has_Swimming_Pool,Has_Tennis_Court,price
3,2,720.0,Leasehold,,,Apartment,1.0,High,Bumi Lot,Selangor,,2,1,0,0,1,0,0,0,0,0,3.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,159999.9999999999
3,2,828.0,Leasehold,,,Apartment,,,Bumi Lot,Selangor,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260000.00000000015
2,2,700.0,Freehold,17.0,,Flat,,Medium,Bumi Lot,Putrajaya,,6,0,0,0,0,0,0,0,0,1,2.0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,269999.99999999977
3,2,1250.0,Freehold,,474.0,Condominium,2.0,,Non Bumi Lot,Kuala Lumpur,7.0,6,0,0,1,1,0,0,0,1,1,,0,0,1,0,1,0,0,1,1,0,1,0,1,0,450000.00000000035
3,2,760.0,Leasehold,,,Apartment,,Low,Bumi Lot,Selangor,,2,1,0,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,192999.99999999997
3,2,909.0,Freehold,29.0,412.0,Condominium,2.0,,Non Bumi Lot,Kuala Lumpur,6.0,6,1,1,1,1,0,0,1,1,1,,1,0,1,0,0,0,0,1,1,0,1,0,1,0,559999.9999999998
3,3,1050.0,Freehold,,,Service Residence,,Low,Non Bumi Lot,Johor,,10,0,0,0,0,0,0,0,1,1,1.0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,428000.0000000002
2,2,550.0,Leasehold,,,Apartment,,Low,Non Bumi Lot,Johor,,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149999.99999999994
3,2,768.0,Leasehold,5.0,40.0,Apartment,1.0,Medium,Non Bumi Lot,Selangor,,5,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,199999.00000000006
3,2,840.0,Freehold,25.0,600.0,Service Residence,,,Non Bumi Lot,Selangor,8.0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359999.99999999994
3,2,918.0,Leasehold,15.0,450.0,Condominium,1.0,Medium,Non Bumi Lot,Kuala Lumpur,26.0,9,1,1,1,1,0,0,0,1,0,2.0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,450000.00000000035
2,2,853.0,Leasehold,,,Service Residence,1.0,,Non Bumi Lot,Johor,,14,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,345000.00000000006
3,2,1098.0,Freehold,,846.0,Condominium,2.0,,Non Bumi Lot,Penang,,1,0,0,0,0,0,0,0,1,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,849999.9999999994
